date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2016-06-29,12.3,12.34,12.28,12.22,78736.34,0.01,0.08,12.2,12.156,12.278,74084.5,73198.01,84112.53,0.47,0
2016-06-30,12.3,12.34,12.16,12.14,84916.99,-0.12,-0.98,12.192,12.174,12.253,79410.55,74809.15,79595.01,0.5,0
2016-07-01,12.26,12.28,12.13,12.08,66740.75,-0.03,-0.25,12.204,12.181,12.23,76258.12,74842.89,77355.41,0.39,0
2016-07-04,12.08,12.41,12.36,12.03,112796.73,0.23,1.9,12.24,12.189,12.217,86093.45,76269.34,78738.53,0.67,0
2016-07-05,12.35,12.55,12.49,12.34,118103.95,0.13,1.05,12.284,12.23,12.212,92258.95,80355.21,79276.37,0.7,0
2016-07-06,12.43,12.68,12.62,12.39,133319.7,0.13,1.04,12.352,12.276,12.213,103175.62,88630.06,81601.57,0.79,0
2016-07-07,12.59,12.69,12.52,12.45,94225.65,-0.1,-0.79,12.424,12.308,12.213,105037.36,92223.96,83416.31,0.56,0
2016-07-08,12.52,12.56,12.46,12.37,73666.37,-0.06,-0.48,12.49,12.347,12.216,106422.48,91340.3,82453.7,0.44,0
2016-07-11,12.49,12.71,12.55,12.42,110234.81,0.09,0.72,12.528,12.384,12.247,105910.1,96001.77,83168.98,0.65,0
2016-07-12,12.55,12.7,12.69,12.27,125549.93,0.14,1.12,12.568,12.426,12.286,107399.29,99829.12,86513.24,0.74,0
2016-07-13,12.65,12.82,12.74,12.6,137751.31,0.05,0.39,12.592,12.472,12.314,108285.61,105730.62,89464.32,0.81,0
2016-07-14,12.79,12.84,12.68,12.6,78751.47,-0.06,-0.47,12.624,12.524,12.349,105190.78,105114.07,89961.61,0.47,0
2016-07-15,12.73,12.73,12.57,12.53,62270.8,-0.11,-0.87,12.646,12.568,12.375,102911.66,104667.07,89754.98,0.37,0
2016-07-18,12.58,12.7,12.61,12.44,68143.2,0.04,0.32,12.658,12.593,12.391,94493.34,100201.72,88235.53,0.4,0
2016-07-19,12.6,12.66,12.58,12.48,48354.53,-0.03,-0.24,12.636,12.602,12.416,79054.26,93226.78,86790.99,0.29,0
2016-07-20,12.58,12.72,12.62,12.5,76351.05,0.04,0.32,12.612,12.602,12.439,66774.21,87529.91,88079.99,0.45,0
2016-07-21,12.62,12.68,12.53,12.52,95867.44,-0.09,-0.71,12.582,12.603,12.456,70197.4,87694.09,89959.02,0.57,0
2016-07-22,12.55,12.6,12.4,12.39,75723.52,-0.13,-1.04,12.548,12.597,12.472,72887.95,87899.81,89620.05,0.45,0
2016-07-25,12.44,12.5,12.43,12.35,43734.86,0.03,0.24,12.512,12.585,12.485,68006.28,81249.81,88625.79,0.26,0
2016-07-26,12.47,12.53,12.52,12.41,81093.19,0.09,0.72,12.5,12.568,12.497,74554.01,76804.14,88316.63,0.48,0
2016-07-27,12.52,12.55,12.07,11.97,117615.11,-0.45,-3.59,12.39,12.501,12.487,82806.82,74790.52,90260.57,0.7,0
2016-07-28,12.06,12.18,12.08,11.94,72739.67,0.01,0.08,12.3,12.441,12.483,78181.27,74189.34,89651.7,0.43,0
2016-07-29,12.1,12.14,12.06,12.03,44751.4,-0.02,-0.17,12.232,12.39,12.479,71986.85,72437.4,88552.23,0.26,0
2016-08-01,12.06,12.1,12.07,11.91,55551.37,0.01,0.08,12.16,12.336,12.465,74350.15,71178.21,85689.97,0.33,0
2016-08-02,12.08,12.12,12.11,12.05,26810.39,0.04,0.33,12.078,12.289,12.446,63493.59,69023.8,81125.29,0.16,0
2016-08-03,12.11,12.33,12.23,12.05,77844.86,0.12,0.99,12.11,12.25,12.426,55539.54,69173.18,78351.55,0.46,0
2016-08-04,12.22,12.23,12.19,12.12,53734.71,-0.04,-0.33,12.132,12.216,12.41,51738.55,64959.91,76327.0,0.32,0
2016-08-05,12.25,12.36,12.24,12.19,69674.33,0.05,0.41,12.168,12.2,12.399,56723.13,64354.99,76127.4,0.41,0
2016-08-08,12.25,12.4,12.38,12.2,86871.7,0.14,1.14,12.23,12.195,12.39,62987.2,68668.67,74959.24,0.51,0
2016-08-09,12.38,12.52,12.49,12.33,94261.16,0.11,0.89,12.306,12.192,12.38,76477.35,69985.47,73394.8,0.56,0
2016-08-10,12.46,12.48,12.35,12.33,69473.3,-0.14,-1.12,12.33,12.22,12.361,74803.04,65171.29,69980.9,0.41,0
2016-08-11,12.31,12.45,12.27,12.27,44111.95,-0.08,-0.65,12.346,12.239,12.34,72878.49,62308.52,68248.93,0.26,0
2016-08-12,12.28,12.94,12.78,12.22,246175.95,0.51,4.16,12.454,12.311,12.351,108178.81,82450.97,77444.18,1.46,0
2016-08-15,12.75,13.1,12.99,12.7,260338.91,0.21,1.64,12.576,12.403,12.37,142872.25,102929.73,87053.97,1.54,0
2016-08-16,13.11,13.3,13.04,12.92,180026.81,0.05,0.39,12.686,12.496,12.393,160025.38,118251.37,93637.58,1.06,0
2016-08-17,12.95,13.09,12.94,12.9,129004.02,-0.1,-0.77,12.804,12.567,12.409,171931.53,123367.28,96270.23,0.76,0
2016-08-18,12.98,13.83,13.34,12.92,316211.22,0.4,3.09,13.018,12.682,12.449,226351.38,149614.94,107287.42,1.87,0
2016-08-19,13.34,13.46,13.16,13.06,156240.67,-0.18,-1.35,13.094,12.774,12.487,208364.33,158271.57,111313.28,0.92,0
2016-08-22,13.05,13.17,12.78,12.7,170269.88,-0.38,-2.89,13.052,12.814,12.505,190350.52,166611.39,117640.03,1.01,0
2016-08-23,12.71,12.85,12.74,12.65,79272.75,-0.04,-0.31,12.992,12.839,12.516,170199.71,165112.55,117549.01,0.47,0
2016-08-24,12.73,12.93,12.66,12.61,72402.21,-0.08,-0.63,12.936,12.87,12.545,158879.35,165405.44,115288.36,0.43,0
2016-08-25,12.53,12.56,12.42,12.29,126124.92,-0.24,-1.9,12.752,12.885,12.562,120862.09,173606.73,117957.63,0.75,0
2016-08-26,12.46,12.54,12.43,12.41,65729.2,0.01,0.08,12.606,12.85,12.581,102759.79,155562.06,119006.52,0.39,0
2016-08-29,12.4,12.48,12.43,12.36,57241.31,0.0,0.0,12.536,12.794,12.599,80154.08,135252.3,119091.01,0.34,0
2016-08-30,12.35,12.49,12.42,12.35,47812.94,-0.01,-0.08,12.472,12.732,12.614,73862.12,122030.91,120141.14,0.28,0
2016-08-31,12.42,12.64,12.58,12.38,95525.9,0.16,1.29,12.456,12.696,12.632,78486.85,118683.1,121025.19,0.56,0
2016-09-01,12.55,12.75,12.46,12.45,105647.31,-0.12,-0.95,12.464,12.608,12.645,74391.33,97626.71,123620.82,0.62,0
2016-09-02,12.42,12.63,12.57,12.37,59293.61,0.11,0.88,12.492,12.549,12.662,73104.21,87932.0,123101.79,0.35,0
2016-09-05,12.55,12.62,12.52,12.5,49277.67,-0.05,-0.4,12.51,12.523,12.669,71511.49,75832.78,121222.08,0.29,0
2016-09-06,12.55,12.61,12.59,12.37,62709.45,0.07,0.56,12.544,12.508,12.674,74490.79,74176.45,119644.5,0.37,0
2016-09-07,12.61,12.78,12.6,12.58,88679.02,0.01,0.08,12.548,12.502,12.686,73121.41,75804.13,120604.79,0.52,0
2016-09-08,12.6,12.65,12.64,12.55,43239.62,0.04,0.32,12.584,12.524,12.705,60639.87,67515.6,120561.17,0.26,0
2016-09-09,12.69,12.71,12.5,12.47,53938.72,-0.14,-1.11,12.57,12.531,12.691,59568.9,66336.56,110949.31,0.32,0
2016-09-12,12.31,12.42,12.27,12.24,74560.25,-0.23,-1.84,12.52,12.515,12.655,64625.41,68068.45,101660.37,0.44,0
2016-09-13,12.29,12.36,12.32,12.29,28215.07,0.05,0.41,12.466,12.505,12.619,57726.54,66108.66,94069.79,0.17,0
2016-09-14,12.3,12.41,12.38,12.26,39194.34,0.06,0.49,12.422,12.485,12.591,47829.6,60475.51,89579.3,0.23,0
2016-09-19,12.39,12.43,12.39,12.3,34463.5,0.01,0.08,12.372,12.478,12.543,46074.38,53357.13,75491.92,0.2,0
2016-09-20,12.45,12.45,12.37,12.33,22200.0,-0.02,-0.16,12.346,12.458,12.504,39726.63,49647.76,68789.88,0.13,0
2016-09-21,12.4,12.44,12.38,12.3,36161.26,0.01,0.08,12.368,12.444,12.484,32046.83,48336.12,62084.45,0.21,0
2016-09-22,12.45,12.58,12.53,12.4,69604.34,0.15,1.21,12.41,12.438,12.473,40324.69,49025.61,61601.03,0.41,0
2016-09-23,12.53,12.53,12.48,12.43,29039.15,-0.05,-0.4,12.43,12.426,12.464,38293.65,43061.63,59432.88,0.17,0
2016-09-26,12.44,12.47,12.18,12.15,50489.32,-0.3,-2.4,12.388,12.38,12.452,41498.81,43786.6,55651.1,0.3,0
2016-09-27,12.11,12.22,12.08,11.97,86488.41,-0.1,-0.82,12.33,12.338,12.435,54356.5,47041.56,56689.06,0.51,0
2016-09-28,12.1,12.1,12.0,11.98,41340.26,-0.08,-0.66,12.254,12.311,12.413,55392.3,43719.56,55894.01,0.24,0
2016-09-29,12.03,12.1,12.07,11.98,34636.96,0.07,0.58,12.162,12.286,12.396,48398.82,44361.75,55235.21,0.2,0
2016-09-30,12.07,12.19,12.1,12.03,43246.2,0.03,0.25,12.086,12.258,12.372,51240.23,44766.94,52621.22,0.26,0
2016-10-10,12.22,12.32,12.26,12.13,70886.07,0.16,1.32,12.102,12.245,12.362,55319.58,48409.2,50883.16,0.42,0
2016-10-11,12.27,12.4,12.35,12.2,62501.33,0.09,0.73,12.156,12.243,12.351,50522.16,52439.33,51043.55,0.37,0
2016-10-12,12.31,12.4,12.38,12.23,65358.89,0.03,0.24,12.232,12.243,12.344,55325.89,55359.09,51847.61,0.39,0
2016-10-13,12.38,12.43,12.36,12.31,46274.1,-0.02,-0.16,12.29,12.226,12.332,57653.32,53026.07,51025.84,0.27,0
2016-10-14,12.41,12.44,12.3,12.22,59977.27,-0.06,-0.48,12.33,12.208,12.317,60999.53,56119.88,49590.75,0.35,0
2016-10-17,12.24,12.37,12.28,12.22,56015.31,-0.02,-0.16,12.334,12.218,12.299,58025.38,56672.48,50229.54,0.33,0
2016-10-18,12.28,12.4,12.39,12.23,58745.87,0.11,0.9,12.342,12.249,12.294,57274.29,53898.23,50469.9,0.35,0
